labels,ap,counts,text
001,10.21,176,board airplane
002,49.70,98,direct airplane
003,10.55,56,exit airplane
004,28.80,181,fly airplane
005,16.89,198,inspect airplane
006,13.45,75,load airplane
007,39.09,284,ride airplane
008,35.75,319,sit_on airplane
009,10.03,4,wash airplane
010,18.13,274,no_interaction airplane
011,57.00,23,carry bicycle
012,51.88,1995,hold bicycle
013,43.53,138,inspect bicycle
014,49.88,121,jump bicycle
015,5.59,27,hop_on bicycle
016,5.36,17,park bicycle
017,19.19,116,push bicycle
018,37.15,87,repair bicycle
019,64.56,2206,ride bicycle
020,61.10,1904,sit_on bicycle
021,62.68,2250,straddle bicycle
022,29.94,180,walk bicycle
023,4.91,2,wash bicycle
024,34.32,396,no_interaction bicycle
025,2.59,45,chase bird
026,5.59,257,feed bird
027,34.48,127,hold bird
028,5.68,5,pet bird
029,22.41,16,release bird
030,15.92,439,watch bird
031,1.82,85,no_interaction bird
032,0.44,103,board boat
033,29.53,214,drive boat
034,3.93,39,exit boat
035,9.27,117,inspect boat
036,54.70,11,jump boat
037,16.19,176,launch boat
038,21.16,63,repair boat
039,40.14,4051,ride boat
040,29.36,757,row boat
041,18.73,380,sail boat
042,41.65,2385,sit_on boat
043,22.58,1626,stand_on boat
044,31.96,44,tie boat
045,7.34,2,wash boat
046,5.25,401,no_interaction boat
047,30.06,154,carry bottle
048,60.18,160,drink_with bottle
049,43.35,540,hold bottle
050,4.85,51,inspect bottle
051,25.42,7,lick bottle
052,6.76,17,open bottle
053,15.29,23,pour bottle
054,10.08,527,no_interaction bottle
055,30.23,247,board bus
056,2.26,6,direct bus
057,37.49,463,drive bus
058,26.87,29,exit bus
059,13.53,27,inspect bus
060,13.58,71,load bus
061,27.39,1519,ride bus
062,23.77,992,sit_on bus
063,63.31,6,wash bus
064,0.06,1,wave bus
065,11.28,226,no_interaction bus
066,11.97,27,board car
067,7.42,1,direct car
068,38.80,367,drive car
069,33.02,60,hose car
070,30.41,94,inspect car
071,0.22,1,jump car
072,32.85,22,load car
073,3.58,26,park car
074,35.74,591,ride car
075,53.47,175,wash car
076,12.91,1051,no_interaction car
077,14.94,1,dry cat
078,15.32,4,feed cat
079,54.78,158,hold cat
080,55.86,76,hug cat
081,13.98,6,kiss cat
082,50.06,70,pet cat
083,42.73,49,scratch cat
084,10.48,3,wash cat
085,1.29,1,chase cat
086,32.76,102,no_interaction cat
087,2.14,52,carry chair
088,7.77,112,hold chair
089,18.94,80,lie_on chair
090,29.31,1266,sit_on chair
091,3.55,1,stand_on chair
092,7.93,327,no_interaction chair
093,46.37,28,carry couch
094,41.60,228,lie_on couch
095,46.44,913,sit_on couch
096,6.12,55,no_interaction couch
097,6.12,10,feed cow
098,12.61,245,herd cow
099,28.35,96,hold cow
100,15.97,5,hug cow
101,82.81,5,kiss cow
102,39.98,52,lasso cow
103,43.14,32,milk cow
104,38.34,49,pet cow
105,66.87,6,ride cow
106,15.66,127,walk cow
107,13.93,504,no_interaction cow
108,0.59,5,clean dining_table
109,50.20,2338,eat_at dining_table
110,54.91,3209,sit_at dining_table
111,16.31,235,no_interaction dining_table
112,59.39,97,carry dog
113,3.10,2,dry dog
114,4.96,12,feed dog
115,38.29,11,groom dog
116,59.94,326,hold dog
117,28.74,26,hose dog
118,61.65,176,hug dog
119,34.10,18,inspect dog
120,30.41,20,kiss dog
121,29.85,162,pet dog
122,15.13,20,run dog
123,19.32,83,scratch dog
124,16.85,16,straddle dog
125,9.34,50,train dog
126,27.22,128,walk dog
127,24.54,25,wash dog
128,11.32,3,chase dog
129,18.05,211,no_interaction dog
130,30.02,23,feed horse
131,45.23,36,groom horse
132,45.55,829,hold horse
133,50.09,26,hug horse
134,77.12,141,jump horse
135,37.67,11,kiss horse
136,3.87,1,load horse
137,19.90,8,hop_on horse
138,30.40,86,pet horse
139,53.20,225,race horse
